"","CHROM","mean"
"1","1",47.120686394412
"2","10",46.1951725285383
"3","11",40.6804072573187
"4","12",39.9552601927013
"5","13",43.1669734361706
"6","14",40.9534277340033
"7","15",39.4165362670402
"8","16",60.1739782073984
"9","17",49.1109869237573
"10","18",43.3820265184924
"11","19",38.6898714165261
"12","2",48.1891363386763
"13","20",52.9756947798218
"14","21",91.7900220059079
"15","22",38.1794145550041
"16","3",45.4036550002559
"17","4",47.3857651748608
"18","5",42.3173950529501
"19","6",43.9093006224826
"20","7",43.0549632911043
"21","8",41.7174902497891
"22","9",47.060535212689
